city,country,lat,lon,trends_score,avg_temp_c,avg_precip_mm,weather_score,cost_index,affordability_score,internet_penetration,internet_score,infrastructure_score,outdoor_score,urban_score,momentum_score,safety_score,tourism_health_score,tier,rank,cluster,cluster_name
Marrakech,Morocco,31.63,-7.99,65,21.4,0.53,94.3,30,70,91.2,76.8,65.9,75,78,68,60,72.6,Thriving,1,0,Rising & Off-Beat
Lisbon,Portugal,38.72,-9.14,75,17.5,1.27,79.0,58,42,88.49,67.8,73.9,68,82,85,85,72.0,Thriving,2,1,Established Destinations
Bangkok,Thailand,13.76,100.5,88,28.2,4.72,53.1,38,62,90.87,75.7,77.8,38,85,82,65,70.3,Thriving,3,1,Established Destinations
Chiang Mai,Thailand,18.79,98.98,68,26.0,5.66,58.4,32,68,90.87,75.7,68.8,88,72,75,78,70.3,Thriving,3,0,Rising & Off-Beat
Budapest,Hungary,47.5,19.04,68,12.5,2.61,56.3,42,58,93.78,85.3,80.2,42,85,75,80,67.0,Growing,5,1,Established Destinations
Cape Town,South Africa,-33.93,18.42,70,16.6,2.32,68.5,40,60,78.36,34.3,49.6,92,75,72,42,66.7,Growing,6,0,Rising & Off-Beat
Paris,France,48.85,2.35,92,12.9,2.67,56.8,75,25,88.65,68.4,81.7,35,99,70,65,66.6,Growing,7,1,Established Destinations
Tbilisi,Georgia,41.69,44.83,52,14.3,1.87,66.6,30,70,83.8,52.3,56.2,82,65,85,72,66.1,Growing,8,0,Rising & Off-Beat
Singapore,Singapore,1.35,103.82,78,26.6,9.32,57.0,90,10,94.38,87.3,92.6,42,90,80,95,65.5,Growing,9,1,Established Destinations
Austin,USA,30.27,-97.74,62,21.7,2.83,76.6,68,32,94.69,88.3,80.2,65,72,72,62,64.7,Growing,10,1,Established Destinations
Medellin,Colombia,6.25,-75.56,55,20.1,5.43,63.4,33,67,79.35,37.6,49.8,70,70,82,52,62.8,Growing,11,0,Rising & Off-Beat
New York,USA,40.71,-74.01,85,13.0,4.16,46.4,100,0,94.69,88.3,91.6,45,98,78,58,62.7,Growing,12,1,Established Destinations
Dublin,Ireland,53.33,-6.25,72,10.8,3.19,47.6,82,18,97.19,96.6,90.8,60,78,65,82,62.3,Growing,13,1,Established Destinations
Seattle,USA,47.61,-122.33,63,11.4,2.76,52.5,78,22,94.69,88.3,85.2,82,75,68,60,62.1,Growing,14,1,Established Destinations
Ljubljana,Slovenia,46.05,14.51,52,11.3,4.39,42.3,52,48,90.76,75.3,70.2,78,68,80,90,61.6,Growing,15,0,Rising & Off-Beat
Chicago,USA,41.88,-87.63,70,11.0,3.41,46.3,72,28,94.69,88.3,89.2,40,88,65,50,60.3,Growing,16,1,Established Destinations
Jerusalem,Israel,31.77,35.22,61,18.5,0.85,84.8,72,28,88.18,66.8,65.9,55,88,42,48,59.9,Underperforming,17,2,Challenged Destinations
Reykjavik,Iceland,64.13,-21.82,61,3.9,4.76,32.0,88,12,98.21,100.0,85.0,95,65,72,98,59.6,Underperforming,18,1,Established Destinations
Tel Aviv,Israel,32.08,34.78,58,21.1,1.47,86.1,85,15,88.18,66.8,74.4,62,80,45,52,59.2,Underperforming,20,2,Challenged Destinations
Baku,Azerbaijan,40.41,49.87,28,16.1,0.7,80.2,35,65,90.8,75.5,66.8,52,62,70,68,59.2,Underperforming,20,0,Rising & Off-Beat
Mostar,Bosnia,43.34,17.81,35,15.7,6.49,52.9,28,72,86.1,59.9,47.4,80,60,88,72,59.2,Underperforming,20,0,Rising & Off-Beat
Kansas City,USA,39.1,-94.58,48,14.1,3.01,57.0,55,45,94.69,88.3,74.2,38,55,48,48,52.5,Underperforming,22,2,Challenged Destinations
Bishkek,Kyrgyzstan,42.87,74.59,22,12.1,1.67,62.9,22,78,68.0,0.0,19.0,95,40,65,62,51.5,Underperforming,23,0,Rising & Off-Beat
